Date,Open,Adj Close,Volume,returns,range,ma_12,ma_21,hmm_predictions,ma_signal,hmm_signal,combined_signal,lrets_bench,lrets_bench_prod,lrets_bench_prod_exp,lrets_strat,lrets_strat_prod,lrets_strat_prod_exp
2023-10-15,26858.01171875,27159.65234375,7098201980,0.011091823470242623,0.01757316891808336,27379.532063802082,27203.26329985119,0,1.0,1,1.0,0.011030760315870677,0.10566058062140939,0.11144456665286384,0.01127792683309992,-0.36766099517734196,-0.3076481474738072
2023-10-16,27162.62890625,28519.466796875,27833876539,0.05006744695824206,0.08542667298835593,27439.5380859375,27309.024553571428,3,1.0,0,1.0,0.04885439730476576,0.15451497792617513,0.1670917585407825,0.0488370518862978,-0.3188239432910442,-0.27299646811086486
2023-10-17,28522.09765625,28415.748046875,14872527508,-0.0036367703063566736,0.018091890763294316,27522.857747395832,27413.714936755954,1,1.0,1,0.0,-0.0036433994327744555,0.1508715784934007,0.1628473138885278,-0.0,-0.3188239432910442,-0.27299646811086486
2023-10-18,28413.53125,28328.341796875,12724128586,-0.0030759792019486865,0.025369185087475543,27554.669759114582,27507.792317708332,1,1.0,1,1.0,-0.0030807197496875486,0.14779085874371314,0.1592704197359649,-0.002858892785535513,-0.3216828360765797,-0.27507192509513667
2023-10-19,28332.416015625,28719.806640625,14448058195,0.013818840741083749,0.02535618657349037,27617.250325520832,27588.66183035714,1,1.0,1,1.0,0.013724231161473081,0.16151508990518623,0.17529019304214533,0.01403317100815785,-0.30764966506842184,-0.264827170378258
2023-10-20,28732.8125,29682.94921875,21536125230,0.033535830870205396,0.05252896141130314,27762.9052734375,27720.625093005954,1,1.0,1,1.0,0.03298576898255148,0.19450085888773772,0.21470452617941782,0.032547559781052594,-0.2751021052873692,-0.2405054291456301
2023-10-21,29683.380859375,29918.412109375,11541146996,0.007932597562652743,0.027329802856732588,27957.466471354168,27861.124906994046,1,1.0,1,1.0,0.007901299916077796,0.2024021588038155,0.22434028834313202,0.007894853217882422,-0.2672072520694868,-0.23448559942023495
2023-10-22,29918.654296875,29993.896484375,10446520040,0.002523007395046406,0.016120997844487617,28174.372884114582,27956.846168154763,1,1.0,1,1.0,0.002519829955235934,0.20492198875905146,0.22742930794467497,0.007393762970825228,-0.2598134890986616,-0.22880459125833108
2023-10-23,30140.685546875,33086.234375,38363572311,0.10309890521346299,0.14195739829649257,28692.11572265625,28221.39136904762,3,1.0,0,1.0,0.09812340552916099,0.3030453942882124,0.3539759258206894,0.0929714498665774,-0.16684203923208418,-0.15366671176482005
2023-10-24,33077.3046875,33901.52734375,44934999645,0.02464145540134477,0.0690273508385828,29287.509765625,28529.560360863095,1,1.0,1,0.0,0.024342751787773464,0.3273881460759859,0.3873398632112943,0.0,-0.16684203923208418,-0.15366671176482005
